Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people"
River,9.23,7.9,2.64,4.18,46.29,1.98,1977,None,63.72,279,31,15
River,0.03,7.63,0.2,5.95,14.49,3.48,180,Filtration,87.99,29,24,96
River,8.94,6.99,4.13,9.5,19.92,13.59,4125,None,89.48,242,9,35
Well,8.84,7.52,2.47,9.31,42.03,0.33,3019,Boiling,89.45,51,42,44
Well,3.17,6.1,1.73,3.49,21.91,17.67,764,Boiling,59.46,433,40,9
Lake,7.04,7.9,1.59,4.88,11.92,11.76,4135,Filtration,85.37,56,16,62
Spring,2.53,6.25,4.31,4.08,27.38,0.9,2366,None,89.52,189,45,42
Spring,7.59,6.99,0.98,6.74,42,4.8,3298,Boiling,62.17,78,2,50
Lake,5.61,6.26,0.8,8.25,21.66,11.88,2779,Chlorination,52.31,372,8,78
Lake,3,8.09,1.07,5.07,6.64,0.71,4987,None,79.14,436,17,2
River,4,7.38,3.13,8.31,19.15,15.6,2371,Filtration,93.31,195,48,65
Lake,6.9,7.73,4.05,7.68,47.72,18.4,3390,Chlorination,98.05,460,29,34
Well,9.06,7.71,1.65,8.1,3.6,19.22,1782,None,50.32,196,4,90
Tap,1.31,8.1,0.87,9.64,20.42,14.67,4780,Chlorination,96.93,30,31,68
Well,5.71,6.33,1.05,5.97,32.4,17.14,1064,None,64.95,331,26,78
Lake,2.54,7.65,3.1,5.4,3.93,12.21,2456,None,51.42,29,20,35
Spring,8.01,7.44,1.23,7.79,17.25,9.17,1346,Boiling,99.19,112,23,48
Well,0.7,6.08,4.39,8.65,47.03,14.26,2227,Chlorination,91.45,137,37,96
Spring,6.89,6.5,0.52,4.34,1.53,4.48,1182,Chlorination,78.47,221,2,0
Well,1.75,6.67,0.16,8.93,37.59,2.2,4132,Filtration,92.65,473,15,75
Spring,5.96,6.18,0.44,3.4,42.07,15.24,2453,Filtration,77.7,171,14,41
Pond,8.36,6.89,4.23,3.04,13.85,19.16,538,Chlorination,60.83,389,24,40
Well,7.55,6.07,3.26,4.11,10.74,11.55,2423,Boiling,96.36,154,7,72
Spring,7.53,7.38,4.79,9.85,45.74,9.65,2303,Boiling,97.43,275,40,56
Tap,5.18,6.53,1.68,6.66,38.2,10.69,248,None,51.99,219,3,19
River,8.91,6.72,1.06,3.33,5.67,9.57,4788,Filtration,54.81,275,31,93
Well,5.88,8.28,2.81,9.98,10.61,8.84,1040,Filtration,56.79,11,44,13
Tap,9.18,7.26,2.69,8.21,31.07,18.94,1391,Filtration,87.55,492,34,86
River,5.47,6.67,2.96,8.87,20.97,9.6,2172,None,85.38,84,29,92
Well,5.06,7.5,1.74,4.49,25.21,1.62,1335,Boiling,98.82,221,38,98
Tap,2.22,6.5,0.03,3.74,47.58,15.31,2259,Filtration,62.56,48,47,51
Tap,5.45,6.19,0.18,6.61,21.01,7.83,499,None,81.57,179,48,90
Pond,1.41,6.05,3.32,8.41,44.08,14.21,810,Chlorination,89.97,9,29,53
Tap,8.7,8.38,2.62,7.46,33.04,11.59,4984,Boiling,45.49,498,16,48
Pond,6.76,7.81,4.11,7.42,6.08,14.26,3713,Chlorination,73.44,260,18,90
Lake,9.94,8,1.5,8.3,37.23,1.24,3704,Filtration,68.34,319,30,29
Spring,0.92,8.45,4.08,4.59,26.01,0.68,1210,None,82,185,16,2
River,2.41,8.33,2.13,7.63,11.25,7.57,3745,Boiling,78.68,228,1,11
Spring,8.77,7.84,0.48,5.74,14.48,13.86,1986,Filtration,86.9,391,36,30
Spring,3.95,7.73,4.89,3.49,27.87,4.47,1491,Boiling,51.78,157,47,36
Pond,4.66,6.84,2.56,4.41,30.09,8.67,4270,None,45.14,272,28,26
Spring,8.61,6.26,3.15,8.56,48.41,19.62,3048,None,86.36,322,29,23
Tap,5.22,7.43,3.35,9.27,42.74,4.3,4919,Filtration,55.24,20,42,40
Pond,1.93,7.44,1.81,4.98,10.29,16.96,2934,Boiling,50.13,15,21,63
Spring,8.92,8.38,3.74,4.33,38.7,16.51,4364,None,53.58,479,37,10
Pond,0.31,7.11,4.35,3.19,0.41,17.83,1817,Boiling,34.64,282,10,90
Lake,8.95,7.73,1.94,9.63,6.49,18.3,4319,Boiling,84.12,114,32,72
Pond,0.51,7.44,3.29,7.79,9.99,10.15,1275,Chlorination,80.06,5,18,15
Well,6.66,6.44,3.79,9.7,29.86,13.64,3022,Filtration,68.69,297,2,13
Tap,0.72,7.48,0.95,9.05,9.73,12.38,2877,Filtration,80.13,399,39,46
River,7.06,7.35,1.66,5.38,18.26,6.18,4014,Boiling,56.12,428,21,29
Well,0.34,7.23,0.54,3.79,12.14,5.6,4087,Chlorination,50.68,258,17,23
Well,8.42,7.28,3.01,6.49,16.87,6.83,1147,Boiling,90.36,39,44,12
Well,4.66,6.41,4,3.19,47.12,4.37,237,Filtration,59.57,275,29,96
Spring,0.93,7.16,3.05,4.05,49.87,15.15,2122,Filtration,43.71,231,0,8
Pond,7.07,7.51,0.9,4.63,34.29,19.29,4595,Boiling,82.43,6,19,48
Pond,4.89,7.22,2.73,7.66,28.62,17.36,1545,Boiling,53.51,314,48,25
Spring,1.91,7.22,4.17,6.57,35.42,4.36,3983,Boiling,44.83,394,4,48
Tap,0.16,6.19,1.51,5.12,38.58,1.04,4363,Filtration,31.9,92,11,41
Spring,4.18,6.48,4.16,6.95,36.95,15.14,986,Boiling,97.94,307,10,44
Spring,0.86,6.8,3.92,3.88,4.09,7.8,1623,Boiling,62.71,386,23,76
Spring,0.94,7.05,0.11,8.29,15.51,16.49,3121,None,41.32,20,17,20
Tap,2.67,7.48,1.2,7.98,17.17,15.58,3726,Filtration,83.05,436,7,28
Tap,6.3,8.16,2.71,4.52,18.46,12.51,3901,Boiling,92.14,479,28,91
Lake,5.3,6.4,3.59,7.24,17.22,5.11,722,Chlorination,66.96,413,21,23
Lake,0.69,6.04,4.4,6.52,39.35,2.08,1095,Filtration,31.99,486,44,76
Lake,9.68,7.12,3.21,3.43,37.38,5.05,3827,Boiling,55.56,10,1,41
Lake,8.87,7.08,1.9,4.95,0.23,10.2,4285,Boiling,47.02,464,22,83
Pond,2.59,7.38,0.92,10,14.82,19.59,995,None,74.55,408,15,70
Well,1.22,8.08,3.8,3.7,31.18,1.27,4661,None,66.32,49,43,40
Well,9.42,8.01,1.03,6.54,6.01,4,992,Filtration,54.9,472,7,47
Lake,4.61,6.25,3.48,8.95,3.56,12.55,2783,None,75.4,264,3,78
Lake,3.11,8.33,0.91,5.1,41.42,6.09,155,None,70.91,44,13,88
River,4.9,6.28,0.46,4.82,22.63,17.17,1895,Filtration,93.45,284,8,98
Well,7.73,7.59,1.26,9.24,42.78,2.79,1776,Chlorination,71.78,317,10,76
River,1.68,7.68,1.42,5.13,41.18,19.26,4768,Boiling,65.54,270,47,42
River,7.67,7.7,3.24,7.56,44.67,18.25,2116,Boiling,87.66,274,37,7
Spring,7.49,6.66,0.8,8.18,2.41,17.75,2420,None,44.17,398,43,84
Pond,5.39,6.83,4.65,8.52,9.31,3.46,54,Boiling,47.05,422,15,62
Tap,8.66,7.37,2.77,9.96,14.81,6.59,84,None,84.85,34,12,62
Well,1.32,6.5,2.45,8.62,6.81,16.08,2888,Filtration,60.96,487,35,5
Lake,5.95,6.05,2.17,7.6,24.27,16.16,4687,Filtration,58.65,140,43,73
Lake,4.49,7.41,2.83,9.27,39.95,14.1,2779,Filtration,92.1,143,35,51
Tap,4.22,7.16,0.11,9.34,47.56,8.96,2669,Boiling,72.71,322,16,20
Well,2.53,7.64,4.95,9.81,44.48,6.23,3836,None,86.2,244,13,13
Lake,3.72,6.37,2.79,8.44,22.87,19.26,1008,None,86.69,350,28,57
Lake,1.08,8.1,0.18,4.36,31.82,2.79,2364,Boiling,38.4,310,16,96
Spring,2.52,6.37,2.95,7.97,11.53,0.88,3686,Filtration,75.76,192,0,24
River,2.72,8.23,2.19,3.53,20.15,0.18,4347,Chlorination,96.68,34,19,55
Lake,7.21,7.12,0.12,5.23,43.56,15.5,2199,None,63.6,271,32,82
Pond,0.49,7.37,4.62,3.81,1.46,1.13,1359,None,81.25,384,1,8
Well,6.51,8.24,0.05,9.65,26.64,10.77,909,Boiling,69.67,177,16,99
Pond,2.21,6.75,2.89,5.37,43.64,7.35,3439,Chlorination,44.34,269,22,35
Tap,0.82,6.45,4.81,7.99,6.1,2.94,2913,Filtration,43.66,317,21,56
Spring,3.01,7.11,1.19,7,49.13,14.81,4695,None,60.37,390,0,78
Well,2.24,6.61,1.27,3.75,0.62,1.1,1006,Boiling,63.81,150,11,4
Spring,5.52,7.32,0,6.93,44.31,6.37,3052,Chlorination,65.22,98,12,80
River,3.57,6.69,0.33,7.63,17.68,11.24,1143,Boiling,96.85,446,13,93
Lake,9.66,8.16,0.22,9.17,6.63,8.05,4398,Chlorination,37.02,28,9,6
Well,9.64,7.52,4.11,3.49,7.87,5.18,3220,Boiling,56.64,149,11,5
Tap,4.44,6,4.18,5.07,35.06,18.52,1224,Chlorination,66.02,207,21,78
River,7.95,8.01,3.63,7.85,43.54,18.62,3878,None,97.42,348,17,51
River,0.13,6.83,1.76,3.24,32.05,8.32,4495,Chlorination,65.3,261,38,73
Spring,5.48,6.8,4.11,4.42,46.44,7.87,67,Filtration,84.27,209,18,69
River,7.43,6.96,2.7,4.53,42.12,6.15,4249,None,82.45,412,29,54
Well,2.17,7.58,1.52,7.69,0.45,17.12,1014,Filtration,69.65,88,14,76
Spring,0.61,7.11,2.19,5,33.47,11.36,181,None,39.15,236,38,13
River,1.56,7.57,0.33,7.2,15.23,1.79,4620,Chlorination,45.31,247,13,0
Tap,4.42,6.37,4.72,9.76,22.73,17.07,4115,None,46.81,257,8,96
Pond,5.06,8.43,3.1,8.55,4.7,10.7,4946,Boiling,32.71,491,4,82
Well,3.81,7.82,3.66,5.33,14.1,8.31,2945,Chlorination,56.55,191,32,72
Tap,4.4,6.63,3.38,6.31,31.63,6.76,2057,Boiling,72.74,95,47,36
Tap,4.7,7.81,3.34,4.4,10.92,1.99,2747,Boiling,40.1,35,4,48
Spring,7.69,7.44,0.09,3.11,32.38,19.13,1880,Boiling,42.25,95,23,11
Lake,1.05,6.27,2.63,5.03,46.15,14.82,3602,Boiling,79.49,488,7,4
Spring,7.69,6.45,4.11,5.59,0.25,2.64,654,Filtration,41.85,403,18,69
Well,6.89,6.1,0.22,6.95,39.29,10.23,3686,Chlorination,39.47,438,11,10
Well,7.42,8.02,4.78,9.61,32.07,11.11,2288,Boiling,98.45,36,7,52
Spring,7.34,7.38,2.12,9.63,2.33,3.36,2199,Filtration,31.03,233,7,54
Lake,4.71,6.79,1.45,3.49,39.51,8.54,2831,None,52.78,101,37,73
Spring,2.11,6.32,2.66,7.3,11.23,12.91,3408,Boiling,32.45,480,19,78
Well,5.37,7.21,4.01,3.3,13.29,5.68,2235,Boiling,88.66,179,28,49
Lake,9.58,7.31,2.37,7.54,4.68,6.63,2511,Filtration,70.85,324,40,52
Well,5.89,7.75,3.23,3.82,26.72,2.44,721,None,33.36,69,33,54
Lake,0.11,8.42,2.5,9.62,24.91,8.26,3248,None,73.08,405,17,91
Lake,0.6,7.09,3.16,9.05,17.36,11.68,1200,Filtration,38.62,468,0,2
Spring,9.93,7.02,0.69,3.16,8.44,2.33,4976,Boiling,64.7,466,10,15
Spring,0.72,6.92,0.19,8.47,41.9,12.3,2462,Chlorination,76.86,106,46,44
Spring,0.46,8.07,0.68,7.45,43.82,7.96,4673,Filtration,40.4,270,43,80
Lake,3.53,6.39,1.43,6.47,27.03,13.56,309,Chlorination,64.79,353,34,35
Lake,9.69,6.86,1.27,7.22,12.21,6.3,1025,Boiling,62.02,46,31,18
Well,3.19,7.81,3.08,7.75,4.81,11.37,4412,Boiling,94.1,454,41,3
Tap,4.1,6.04,2.28,9.19,43.43,12.26,1532,None,99.7,464,15,58
Spring,6.34,6.72,0.19,8.37,4.8,13.81,3643,Boiling,75.81,107,5,88
Pond,0.24,7.6,0.17,7.03,0.66,15.14,367,None,89.84,363,8,90
Well,8.98,6.46,0.45,8.77,23.47,2.73,4650,None,75.28,68,39,11
Well,5.19,6.76,1.77,9.91,36.56,19.3,2652,Boiling,91.34,307,21,62
River,4.67,7.22,0.03,5.1,22.88,16.87,1249,None,60.33,422,47,55
Spring,8.61,7.06,2.47,3.83,2.57,11.25,2983,Boiling,72.56,1,7,26
Well,9.53,6.27,1.8,8.12,34.5,17.81,4575,None,89.16,218,31,67
River,4.23,8.35,2.78,9.85,32.12,7.65,3028,None,94.27,44,25,23
Pond,1.72,6.11,3.6,3.82,34.08,0.69,3134,Boiling,31.73,407,17,80
Pond,8.16,7.87,1.25,6.02,10.56,14.54,4095,Chlorination,37.28,232,36,25
Spring,4.03,6.18,0.79,3.44,39.78,18.87,939,Filtration,95.18,188,11,81
Lake,9.36,7.17,1.39,8.44,23.96,3.24,4109,Boiling,69.8,366,37,21
River,9.5,6.44,0.01,9.64,26.82,12.88,4237,None,99.31,347,33,69
Lake,1.15,6.35,0.6,6.49,27.29,16.27,4023,Filtration,85.48,121,3,18
Pond,9.57,6.31,3.75,5.87,14.34,18.1,3691,Chlorination,87.27,494,15,33
Pond,3.68,7.13,1.11,9.35,12.51,5.53,589,Boiling,57.03,64,23,10
Tap,6.46,7.29,4.97,3.93,0.24,2.57,1782,None,48.03,436,13,87
Tap,0.35,6.33,0.84,9.24,19.83,4.96,4568,None,71.88,371,16,44
Tap,8.89,8.45,3.94,5.74,24.26,11.55,1207,Boiling,91.53,148,30,36
Tap,6.42,6.64,3.53,6.92,37.14,18.37,4412,None,80.8,248,3,22
Well,6.44,7.15,1.61,6.7,3.33,11.65,4540,Filtration,63.05,382,49,39
Tap,9.02,6.54,1.65,7.31,46.2,18.39,2343,None,82.72,475,43,42
Well,5.08,7.23,2.82,9.59,13.2,15.4,846,Filtration,78.33,66,33,3
Well,4.11,7.89,4.26,9.66,18.34,11.97,2424,Filtration,93.91,349,37,81
Spring,8.66,7.3,1.93,8.82,2.42,0.44,4680,Boiling,48.45,384,37,93
Well,7.42,6.71,0.31,4.34,32.66,6.66,798,None,38.35,58,2,14
Well,9.49,6.62,1.87,5.33,35.45,1.15,470,Filtration,62.9,114,7,22
Tap,9.4,7.9,1.04,6.41,46.44,6.44,3909,None,55.28,115,11,11
Well,3.82,6.3,4.7,9.34,16.84,1.25,4827,Filtration,98.24,236,34,67
Lake,4.47,6.92,3.49,6.65,12.87,3.36,2094,Chlorination,30.53,46,1,67
Tap,2.56,6.38,0.25,9.84,36.3,8.21,2994,Boiling,95.34,108,28,51
River,6.61,6.64,1.46,9.89,35.34,10.3,3129,Boiling,96.86,273,22,40
Tap,3.65,6.38,0.25,7.19,46.86,4.34,1313,Boiling,33.57,112,32,77
Well,7.86,8.22,4.15,9.14,10.27,14.65,2878,Filtration,92.27,32,49,58
Lake,1.22,7.83,4.53,9.99,35.26,11.81,3515,Chlorination,62.95,398,17,57
Tap,1.16,7.4,0.56,8.95,3.34,13.84,1047,Filtration,83.63,279,39,58
Lake,2.04,6.56,2.2,7.6,24.02,14.66,1087,Boiling,35.55,291,21,71
River,0.84,7.28,4.66,8.92,5.97,14.54,3681,Filtration,96.86,315,13,22
Pond,6.2,7.3,0.73,3.58,32.66,18.72,282,Boiling,72.53,161,28,0
River,1.47,7.48,1.46,7.44,30.07,4.74,3648,None,92.91,89,44,55
Pond,1.6,6.15,1.52,4.52,2.44,5.4,1398,Filtration,77.11,50,14,74
Spring,0.14,8.43,0.15,3.81,15.98,1.88,2733,None,67.58,423,14,90
Pond,7.82,7.16,0.18,9.25,19.75,11.85,4067,Filtration,42.07,405,44,3
Spring,8.12,8.32,4.76,7.48,12.4,7.9,2357,Boiling,42.46,143,3,28
Tap,1.62,6.02,2.86,4.7,1.93,9.92,2935,None,63.08,103,35,16
Spring,7.4,6.62,1.53,5.71,15.94,3.4,3818,Filtration,90.93,169,4,48
Lake,4.34,6.26,1.89,9.81,39.63,12.98,3238,Boiling,38.07,15,2,82
Spring,2.4,7.92,3.57,9.04,18.01,12.38,1772,Filtration,99.89,132,11,50
Lake,6.21,6.8,1.83,3.11,16.17,5.3,4077,None,91.31,498,19,48
Pond,1.78,8.1,1.14,9.86,47.09,9.31,4102,Filtration,57.48,389,43,23
Pond,7.57,8.08,0.51,5.58,2.08,17.89,787,Filtration,47.72,169,19,43
Pond,0.48,7.67,3.64,7.87,38.36,15.47,3224,None,94.54,471,38,40
Spring,9.59,7.66,0.9,7.99,24.15,4.54,42,Boiling,38.62,29,38,56
Pond,0.72,7.75,0.35,9.38,47.22,17.58,4296,Filtration,54.31,484,0,55
Spring,5.79,7.68,2.13,9.2,19.67,1.35,2942,Filtration,35.87,159,43,31
Spring,9.02,6.97,0.2,4.97,35.4,8.28,4643,Chlorination,96.74,436,2,30
Well,0.12,7.71,4.82,7.5,3.5,1.6,4321,Chlorination,73.23,146,46,15
Well,4.99,8.24,3.14,5.76,46.44,18.48,3905,Boiling,53.53,306,8,31
Spring,3.5,6.83,0.76,6.68,17.23,0.81,4728,None,49.28,236,19,41
Lake,5.8,8.36,0.86,6.88,26.2,3.02,3410,Boiling,61.09,411,8,33
Tap,2.25,6.03,2.85,5.77,6.92,18.3,1358,Boiling,36.4,174,30,98
River,0.65,6.87,1.78,6.25,47.28,11.64,1204,Boiling,92.25,71,45,36
Well,6.26,6.33,3.87,4.46,33.65,15.9,3604,Filtration,65.77,383,27,15
Spring,4.17,6.32,2.73,7.25,2.7,0.33,2993,Filtration,80.76,362,34,84
River,6.22,8.04,2.17,8.31,7.76,8.38,2241,Boiling,46.36,126,39,12
Well,2.11,8.3,4.81,6.01,19.99,19.69,537,Boiling,65.26,384,37,81
Tap,3.39,7.94,1.95,9.84,10.84,11.6,4011,Chlorination,44.78,195,43,65
Lake,5.62,8.44,2,3.4,15.23,16.99,3868,None,87.13,184,1,32
Spring,5.93,6.54,3.33,7.12,49.87,19.27,4576,Boiling,84.27,149,2,81
Tap,3.72,6.35,4.05,7.09,32.93,13.7,4525,Chlorination,40.37,213,13,91
Well,2.8,7.3,3.13,3.25,46.11,6.55,3583,Boiling,35.22,93,16,34
Spring,2.74,8.07,3.49,4.57,21.79,6.17,1350,None,87.69,57,34,36
River,1.75,6.1,1.86,9.34,35.51,1.43,944,Boiling,37.68,218,3,75
Pond,3.25,8.49,2.4,6.81,22.98,8.56,3856,None,68.39,218,46,39
Lake,1.99,7.51,0.99,6.05,16.41,18.31,1823,Filtration,67.41,12,29,7
Well,6.34,8.45,3.4,5.91,25.96,9.56,2625,None,44.21,422,38,53
Lake,5.69,6.91,1.11,9.22,21.37,18.22,3898,Boiling,71.39,282,13,88
Spring,3.83,7.15,0.01,5.57,49.03,16.34,3487,Chlorination,65.19,422,47,6
Pond,3.26,7.88,4.67,9.01,24.81,19.68,4206,Filtration,65.64,485,26,1
Tap,2.38,7.98,1.53,5.16,40.56,18.95,4307,Chlorination,55.18,376,12,96
Lake,5.35,6.58,0.98,6.72,33.34,14.13,850,Boiling,88.69,455,19,55
River,9.19,8.32,1.34,4.01,23.98,17.42,2925,Filtration,35.91,139,48,96
Well,6.86,8.17,1.65,8.78,23.71,14.96,995,Chlorination,60.7,407,48,56
River,7.44,6.05,2.37,8.15,17.09,14.07,4761,Boiling,48.19,273,23,48
Lake,8.34,6.32,0.35,6.71,5.35,14.31,349,Chlorination,89.39,118,9,86
Pond,3.52,7.24,0.26,3.18,38.07,14.42,1537,None,45.76,270,6,68
Tap,0.63,7.15,1.46,6.37,45.9,7.59,2977,None,83.69,443,16,77
Tap,6.23,7.77,1.48,4.58,10.9,8.47,2728,Boiling,72.81,399,21,7
River,1.89,6.22,0.59,5.89,46.28,5.88,4346,Chlorination,91.24,96,43,83
Spring,5.69,7.61,2.02,8.99,11.62,2.97,2366,Boiling,71.57,329,10,62
Spring,7.4,7.54,1.42,8.39,26.5,9.17,2236,Chlorination,68.95,46,41,81
Pond,7.84,6.58,0.13,4.69,17.18,18,3875,Filtration,86.08,151,22,86
Tap,3.02,7.36,4.43,9.89,5.73,13.03,3094,Boiling,69.37,172,21,92
River,5.12,6.56,4.43,9.32,2.64,1.12,3601,Boiling,89.12,274,39,70
River,6.21,6.37,1.05,6.7,18.27,16.22,4174,Chlorination,33.45,346,46,87
River,8.19,7.43,0.81,6.71,2.37,18.71,4641,Boiling,64.66,236,17,45
Lake,7.61,8.44,2.74,9.31,5.21,16.59,923,Filtration,86.89,424,44,88
Pond,9.88,6.59,3.15,7.45,7.11,14.55,618,Chlorination,89.39,30,25,77
Spring,0.08,6.89,4.79,6.76,0.1,3,4400,Chlorination,88.38,212,47,66
Spring,4.37,6.64,1.89,8.24,7.66,6.98,3262,Chlorination,72.31,271,29,45
Lake,2.56,6.67,3.09,4.65,28.86,11.31,3303,Filtration,99.58,406,12,77
Well,1.2,7.01,4.39,9.15,40.98,1.54,2601,Filtration,42.7,77,3,66
Lake,9.12,7.75,2.25,6.72,9.67,2.13,1047,Boiling,42.21,278,42,41
Pond,9.98,6.1,0.61,7.22,4.04,18.69,1698,Chlorination,32.3,40,26,63
River,1.81,8.39,1.89,3.63,36.48,14.05,2230,Filtration,99.25,145,39,72
Lake,0.38,6.12,0.68,5.17,0.41,5.5,1868,None,54.36,419,9,52
River,2.75,8.2,0.08,5.99,36.71,6.55,2654,Boiling,83.34,11,43,70
Pond,8.35,8.24,3.76,5.9,6.56,7.69,82,Filtration,34.18,247,27,89
Pond,2.94,7.31,1.19,8.45,11.41,1.5,92,Filtration,50.91,228,20,6
Tap,0.57,6.34,0.01,4.98,6,14.78,3156,Filtration,73.67,330,10,6
River,0.52,7.41,4.36,4.27,12.37,3.54,3048,Boiling,66.73,452,19,35
Spring,4.27,7.57,2.22,7.08,39.91,16.1,1467,Filtration,44.54,178,35,12
Lake,9.32,8.14,1.19,7.31,6.63,16.92,2024,Filtration,62.31,340,18,66
Pond,2.86,7.38,1.31,3.85,49.71,12.77,4869,None,37.61,159,9,19
River,4.27,7.03,1.2,3.02,16.35,15.4,3817,None,67.99,220,14,72
Well,1.02,8.1,0.97,9.42,46.1,3.44,2698,None,36.79,326,44,52
Tap,4.94,8.45,4.21,3.56,9.5,11.52,791,Filtration,74.52,163,44,85
Well,6.97,7.61,0.85,9.29,9.39,13.54,475,None,40.88,167,17,51
Pond,2.71,8.19,2.81,5.79,28.27,13.23,503,Chlorination,68.3,381,6,96
Well,2.97,7.5,0.39,7.57,2.53,2.35,230,None,39.04,218,29,60
Well,8.42,7.72,4.75,4.3,40.05,6.89,1586,None,58.05,69,13,86
Tap,0.1,7.72,3.02,8.77,21.98,6.5,1774,Filtration,54.63,421,36,86
Tap,6.36,7.76,4.52,4.26,34.96,11.45,3090,Chlorination,82.95,437,40,89
Tap,3.94,6.8,1.99,5.71,8.73,15.3,2256,None,74.88,259,29,95
Tap,2.98,7.44,4.05,4.67,32.12,11.41,3970,Filtration,95.6,429,26,60
Well,6.58,7.49,4.27,8.86,29.7,15.1,4226,Chlorination,94.53,62,48,55
Spring,8.35,6.79,3.51,9.01,37.78,1.98,4838,None,80.75,482,36,91
Spring,5.58,6.87,0.46,5.6,14.87,17.56,383,Filtration,83.94,457,47,93
Tap,0.31,7.91,0.08,5.15,46.66,10.73,3163,Chlorination,73.74,245,40,39
Lake,4.61,7.46,0.84,8.41,48.07,0.75,2409,None,78.42,485,16,80
River,4.63,6.37,0.59,9.15,43.41,12.86,760,Chlorination,73.21,49,29,62
Pond,5.44,8.09,3.63,7.37,28.6,10.35,3952,Chlorination,51.82,285,17,56
Lake,6.71,8.21,2.79,9.49,21.01,4.41,942,Filtration,54.55,233,2,81
Pond,0.19,7.17,2.63,5.68,2.9,15.29,2695,Boiling,70.23,456,27,88
Lake,5.02,6.52,1.26,4.06,47.36,18.67,1296,Chlorination,80.41,15,36,3
Lake,5.88,8.37,0.77,4.26,47.59,6.45,2402,Chlorination,58.43,435,29,25
Spring,3.43,8.21,1.03,7.69,0.93,9.88,2147,Chlorination,39.99,3,20,94
River,6.68,6.61,2,5.85,17.84,2.56,1639,Chlorination,62.16,281,48,61
Lake,2.28,6.24,3.7,4.09,44,18.6,4396,Chlorination,97.42,156,19,75
Tap,3.17,7.1,1.27,5.05,4.04,6.38,608,Boiling,44.99,219,21,53
Pond,9.63,7.69,3.49,6.71,9.83,3.9,881,Filtration,75.43,394,35,61
Spring,3.48,6.44,2.46,3.85,48.93,9.57,2250,Boiling,98.78,347,35,17
Pond,3.47,7.28,4.43,3.02,42.36,0.87,3092,Filtration,56.34,363,20,9
Tap,5.96,7.06,1.16,9.42,45.6,5.06,2159,Boiling,92.15,479,23,35
Tap,9.71,8.23,2.25,5.13,7.11,1.35,2428,Filtration,90.48,407,20,1
Lake,9.83,7.07,0.48,4.55,10.57,2.55,4850,None,53.73,50,6,59
Tap,5.8,7.33,1.68,7.89,30.27,2.24,3001,Chlorination,36.9,41,7,88
River,0.01,8.39,2.53,8.97,25.09,17.45,4891,Filtration,42.5,422,21,46
Tap,9.01,6.75,3.66,7.43,14.93,18.61,1994,Filtration,55.6,134,21,72
Lake,5.7,6.72,0.99,4.78,44.19,9.49,1323,Chlorination,97.14,273,29,31
Pond,3.66,8,1.09,9.03,45.07,12.61,4317,None,49.21,258,33,68
Tap,8.29,6.69,3.16,6.57,14.58,13.92,1011,Chlorination,94.88,190,28,50
Spring,4,8.08,1.91,5.67,7.79,7.83,4038,Filtration,42.7,255,9,66
Spring,0.34,6.24,2.41,7.23,7.45,7.4,688,Filtration,97.89,235,4,80
Spring,8.21,6.28,4.18,7.9,24.22,13.51,4068,Chlorination,50.55,493,48,76
Pond,5.46,8.25,2.5,7.16,6.65,7.53,4213,Boiling,74.32,275,38,66
Well,3.38,7.35,3.26,9.44,23.67,11.62,4269,Chlorination,34.88,353,33,91
Spring,2.51,7.8,3.28,7.4,23.1,10.3,1242,Filtration,50.98,477,37,67
Spring,5.94,6.56,4.02,9.15,44.21,10.49,3447,Filtration,44.75,72,9,81
Well,2.08,6.42,3.19,7.11,14.81,16.59,2044,Filtration,30.24,73,8,55
Pond,3.24,8.09,0.32,5.31,28.03,14.08,440,None,40.97,122,31,98
Spring,6.37,6.9,1.71,6.73,37.17,19.21,1224,Chlorination,71.52,69,4,13
Lake,8.82,7.14,4.95,3.6,29.8,15.82,2462,None,57.29,400,34,15
Pond,5.33,6.07,0.98,4.61,47.7,2.92,4178,Chlorination,80.58,78,10,75
Spring,7.59,6.96,2.93,8.36,30.11,14.77,2752,None,76.98,480,41,74
Spring,7.63,7.93,4.21,7.63,45.09,13.31,1752,Boiling,85.95,247,15,65
Well,6.64,8.05,2.93,4.17,12.25,12.92,4442,Filtration,90.69,186,26,32
Lake,2.46,7.75,1.86,6.07,28.04,9.61,4629,Filtration,87.39,437,19,12
Pond,8.67,7.73,0.4,3.99,27.17,1.25,3002,Chlorination,61.36,140,0,29
Tap,4.36,7.27,1.81,8.99,49.47,19.03,4546,Filtration,51.61,297,25,25
River,0.44,7.35,0.91,3.76,10.23,17.04,3216,None,65.16,43,10,81
Lake,2.45,7.86,4.8,7.58,7.05,9.74,3359,Boiling,67.46,246,14,12
Tap,7.66,6.62,3.58,7.25,30.58,3.17,3942,None,51.92,469,38,67
Lake,0.69,6.58,3.75,6.31,11.18,16.49,3296,None,67.8,335,39,32
Tap,1.47,8.37,2.18,4.95,31.96,8.61,4309,Chlorination,37.4,225,47,14
Tap,6.94,6.07,0.55,5.83,48.62,7.8,4014,Filtration,46.17,66,17,16
